"","theta1","theta2","theta3","theta4","zinit1","zinit2","sigma1","sigma2","dtheta1","dtheta2","dtheta3","dtheta4","dzinit1","dzinit2","dsigma1","dsigma2","log_probs"
"1",-0.485400923502675,-3.46989835172207,-0.295105552402684,-3.84119875065524,3.47517584381265,1.85222073239852,-1.36917471855251,-1.41358948810885,-95.0375592221007,-28.1696818782462,-100.372157613995,-22.946368760976,-29.7442646047753,-14.1383748574261,-44.4816722942479,63.2704645245292,40.2985692284954
"2",-0.648189462984058,-3.58617779289147,-0.219800779130337,-3.68424668223673,3.47090868560151,1.85308484348408,-1.41821927811117,-1.37147921559015,73.6805648524227,-21.1098181643055,15.9387725644403,24.3229711661039,31.6444251637973,-8.83751251030642,77.8244981784745,-43.0193802314486,41.0287243145454
"3",-0.608560396839115,-3.62987602353893,-0.221122539607606,-3.79893735549707,3.60697560313415,1.82259708312942,-1.39663895485114,-1.40933097474376,-45.5051321997402,-14.0081197724039,-67.6448921280985,-3.27083707803308,-24.1952053979945,-14.3870509029232,23.187046218254,51.059892397722,42.9673532150863
"4",-0.575712823260638,-3.70502433234582,-0.195458722448679,-3.75974623755902,3.45758689440216,1.92155504654629,-1.36937463988209,-1.37304476329814,-55.8728060576082,7.01599783288564,-75.9202805028973,14.2377066065443,-1.62087368449308,-17.4763570337839,-44.402711069699,-35.952181856431,40.126908682284
"5",-0.730232940114778,-3.75697966073785,-0.16398423593647,-3.73273509022227,3.74230907402807,1.77820695895063,-1.41220992789105,-1.40457429036188,-24.2877029480996,0.0733205046421333,-9.65636429547862,-29.4656912708628,-47.095693848458,-4.79052967329906,62.651209728736,43.3798539833296,40.2561104653298
"6",-0.624593408220488,-3.57963085220737,-0.197907973462161,-3.73139726205948,3.59537708403789,1.7132469614214,-1.35354810131883,-1.3567215821964,-89.7002271779891,-30.7562724609024,-80.3761034988876,-47.7523694716762,-51.5390955599514,-5.0431416072781,-85.8453749697771,-78.8454734303344,38.8145346340517
"7",-0.573761114876908,-3.49259953916441,-0.255506932350712,-3.75092835878452,3.53792989388067,1.70457091149262,-1.3953542684447,-1.40645422113188,-62.4765008890073,-28.9810575686598,-39.4972095383581,-46.3384329466431,-33.8993993389805,7.16374317941983,19.2720794170146,46.8162222805082,41.3952006824473
"8",-0.838924113445433,-3.92732922908742,-0.0192798882568001,-3.58298692210706,3.65370043057915,1.59030772633772,-1.41995446534407,-1.38346352409425,43.2497025550331,28.1214933101154,26.2080656980212,30.8315099475977,14.7381325726035,28.7609308045979,80.780634950711,-3.94492551067087,37.4384398501005
"9",-0.608429272566438,-3.63804788097588,-0.219444461025529,-3.6606663906676,3.45911937130073,1.86394028867043,-1.37361343161171,-1.37625636074173,-54.3773462991304,-4.3326106990648,-15.2086685274121,-44.4027921257386,-23.0397286982667,-9.56333415874998,-34.8106085984662,-32.394883748242,42.780730182624
"10",-0.793026920022401,-3.87745168483499,-0.0681562441809948,-3.73764543164502,3.72531991641175,1.76003652269489,-1.36702024664429,-1.39351702352374,52.7244610404187,12.3057785519048,-42.7815650181522,79.2353151888441,24.5105712974625,-2.42875376145049,-43.4341398950563,14.7255738677975,37.0077002025856
"11",-0.611865210453243,-3.7091307307998,-0.206207491462682,-3.86532846417038,3.70174651960089,1.90498092698486,-1.38154749587533,-1.37098661508486,-94.624509046873,-12.172346245171,-129.070403380556,-0.266267410349934,-49.1020279049937,-35.2870004125943,-7.03359608448562,-42.5829666136248,37.5873907780725
"12",-0.625470152972952,-3.76094499390875,-0.163432700751089,-3.73057779252028,3.50156566954835,1.8411049429059,-1.41464155452139,-1.40245173793766,-31.8618939969478,18.2321455451281,-52.0589293253505,26.1926385511332,10.7814113166566,-5.37368605147209,68.3839912211037,38.4088504236991,40.713048428706
"13",-0.723294262223477,-3.8104429660506,-0.0813260849957664,-3.64441540666416,3.50403549717028,1.76187534877594,-1.40830474491015,-1.39766131233677,39.6066538449334,10.5369281969451,-42.6182718453803,66.8661105125225,46.3035165810229,4.46107322710765,53.113779713871,26.6710091073182,40.3659624835903
"14",-0.394871137721246,-3.31634153456892,-0.463342729931558,-3.98440643003872,3.54253845845126,1.96214480612266,-1.39017431041569,-1.39351593846802,-6.09120326431607,-27.8627935803878,-8.53660283840338,-13.5301206539314,-12.7260134962484,-18.6327666735306,5.72889544215641,14.3209884035959,41.0347916344309
"15",-0.649226104751981,-3.68512352208059,-0.158414325518576,-3.65108804150002,3.47410134699567,1.71144299011378,-1.4082884966192,-1.43334596407053,-27.5656711121306,4.7313771307845,-18.928430565801,-5.3432850525623,6.51985115558919,14.8476577964297,50.9339724195821,114.452634903637,40.1758135985587
"16",-0.70173120427644,-3.70460995301172,-0.17129350589767,-3.70970509649837,3.60261428540948,1.79753584853197,-1.36014063451204,-1.37661042383251,38.4994791844163,-2.57186200966816,2.34464867532059,21.7924622546349,10.1741510844601,-2.22649538787694,-70.3880824583035,-31.1572614567471,42.7102322388248
